coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
epfitnesstudio.rd,DVL_OKdD1ox,Image,31,0,2026-02-25T16:18:06.000Z,653,False,lifestyle,False
gisellemueses,DRU9_o_Edgp,Video,261,0,2025-11-21T18:03:29.000Z,1095,True,testimonial,False
eddypilier,DS4ukRgDnSS,Video,181,3,2025-12-30T11:45:37.000Z,89,False,lifestyle,False
eddypilier,DVJRZQ2jjPA,Video,62,1,2026-02-24T15:01:00.000Z,122,False,lifestyle,False
guntergil,DVXCRnQDccx,Image,8,0,2026-03-01T23:16:23.000Z,43,False,lifestyle,False
eddypilier,DUdjAMJDu3c,Video,67,0,2026-02-07T15:27:53.000Z,94,False,lifestyle,False
jmramos71,DU1b4B8EdP-,Image,363,7,2026-02-16T22:05:56.000Z,500,False,promotion,False
eddypilier,DVvyZ4LDpya,Video,87,11,2026-03-11T14:00:24.000Z,174,True,testimonial,False
epfitnesstudio.rd,DVY_IUCmbU6,Image,18,1,2026-03-02T17:27:26.000Z,702,False,workout,False
cirujano_fitness,DQnROQukRYR,Video,208,34,2025-11-04T00:03:15.000Z,534,False,testimonial,False
gisellemueses,DURyk04FHdS,Video,1133,38,2026-02-03T01:58:56.000Z,678,False,workout,False
gisellemueses,DVwD06cjF8W,Video,-1,19,2026-03-11T16:34:28.000Z,925,False,promotion,False
sencillo_fit,DVNDZ0HkRC5,Video,23,4,2026-02-26T02:22:18.000Z,44,False,workout,False
gisellemueses,DU6q8RCkgSj,Video,2745,88,2026-02-18T23:01:13.000Z,548,False,workout,False
epfitnesstudio.rd,DTEaoYRlS_C,Image,46,0,2026-01-04T00:40:51.000Z,502,True,promotion,False
guntergil,DVJi3X2iUvJ,Image,36,0,2026-02-24T17:31:50.000Z,838,True,promotion,False
guntergil,DVobZS-DmXG,Image,21,0,2026-03-08T17:22:59.000Z,419,False,testimonial,False
sc.nutritionrd,DRCk-ONEa5i,Video,11,2,2025-11-14T14:32:01.000Z,596,True,promotion,False
guntergil,DVW4yUwjouF,Image,9,1,2026-03-01T21:53:28.000Z,43,False,lifestyle,False
guntergil,DV1UNsMjpAQ,Image,1,1,2026-03-13T17:30:21.000Z,129,False,promotion,False
