coach_username,video_id,play_count,like_count,comment_count,share_count,create_date,description_length,hashtag_count
issaafit,7183732542942563590,1300000,79300,182,2856,1672593076,93,4
issaafit,7595970915704376583,801,28,0,1,1768574803,29,3
issaafit,7595259957046430983,555,26,0,0,1768409268,66,5
issaafit,7594869305645223175,461,20,0,0,1768318313,42,4
issaafit,7594678077024718088,729,52,2,0,1768273788,58,5
issaafit,7593522972648819976,470,22,1,0,1768004847,46,4
issaafit,7591170460289748242,8293,108,0,1,1767457109,581,5
issaafit,7590825147905346823,516,25,0,0,1767376710,42,5
issaafit,7590125343005052167,530,18,0,1,1767213776,50,5
issaafit,7588336259118992648,485,22,0,0,1766797222,49,5
issaafit,7587469849396382984,422,34,1,0,1766595499,58,5
issaafit,7587121488575089938,490,29,1,0,1766514383,61,5
issaafit,7586868397976161544,422,34,0,0,1766455459,59,5
issaafit,7582359494450089234,753,98,0,1,1765405660,106,5
issaafit,7582352546279247111,1353,50,1,1,1765404034,41,5
